CUST_ID,OPEN_ORG_NUM,IDF_TYP_CD,GENDER,bad_good,CUST_INTERNATIONAL_GOLD_FLAG,CUST_INTERNATIONAL_COMMON_FLAG,CUST_INTERNATIONAL_SIL_FLAG,CUST_INTERNATIONAL_DIAMOND_FLAG,CUST_GOLD_COMMON_FLAG,CUST_STAD_PLATINUM_FLAG,CUST_LUXURY_PLATINUM_FLAG,CUST_PLATINUM_FINANCIAL_FLAG,CUST_DIAMOND_FLAG,CUST_INFINIT_FLAG,CUST_BUSINESS_FLAG,CUST_ASSET_AMT,CUST_DEBT_AMT,L3_CUST_ASSET_AVG_AMT,L6_CUST_ASSET_AVG_AMT,L3_CUST_DEBT_AVG_AMT,L6_CUST_DEBT_AVG_AMT,DEP_SA_OPEN_TENURE_DAYS,DEP_SA_LAST_TENURE_DAYS,DEP_SA_AVG_TENURE_DAYS,DEP_SA_SUMACCOUNT_CNT,L3_DEP_SA_AVG_ACCOUNT_CNT,L6_DEP_SA_AVG_ACCOUNT_CNT,DEP_TD_FLAG,LOAN_FLAG,FUND_FLAG,C_FUND_FLAG,D_FUND_FLAG,S_FUND_FLAG,BOND_FLAG,CER_BOND_FLAG,BK_BOND_FLAG,LG_TXN_AMT,LG_TXN_CNT,L3_LG_TXN_AVG_AMT,L3_LG_TXN_AVG_CNT,L6_LG_TXN_AVG_AMT,L6_LG_TXN_AVG_CNT
1000000024,1101,ZR01,2,0,0,0,0,1,0,0,0,0,0,0,0,1940264.01,220403.03,1744167.193,1393463.642,224464.6933,222433.8617,4940,707,2196,18,18,18,1,1,1,0,0,0,0,0,0,903794.1,7,3771309.603,14.33333333,2305945.875,8.666666666
1000000515,602,ZR01,1,0,0,0,0,1,0,0,0,0,0,0,0,318911.09,0,318479.9,492005.8867,0,0,3373,442,1077,5,5,5,0,0,0,0,0,0,0,0,0,311426.85,1,207142.2833,0.666666666,220619.5433,1.166666666
1000003231,602,ZR01,2,1,1,0,0,0,0,1,0,0,0,0,0,258547.65,0,350236.1433,429062.25,0,0,4781,81,1777,11,11,11,0,1,1,0,0,0,0,0,0,1109744.67,12,1597218.943,13.33333333,1391494.495,9.5
1000003736,602,ZR01,1,0,0,0,0,0,0,0,0,0,0,0,0,710753.2,0,710753.2,710753.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000003852,602,ZR01,1,0,0,0,0,0,1,0,0,0,0,0,0,558.49,0,2314.746667,7053.646667,0,0,1569,1416,1493,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16666.66667,0.166666666
1000003986,602,ZR01,2,0,0,0,0,0,0,0,0,0,0,0,0,1638.99,0,1638.67,1637.828333,0,0,3362,3209,3286,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000004314,602,ZR01,1,0,0,0,0,1,0,0,0,0,0,0,0,39344.81,0,41272.08333,60624.69,0,0,4212,903,1691,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,92506.56333,1.166666666
1000005182,602,ZR01,2,0,0,0,0,0,0,0,0,0,0,0,0,5743.59,0,5742.466667,5739.513333,0,0,4781,4595,4689,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000005481,602,ZR01,2,0,0,0,0,0,0,0,0,0,0,0,0,160953.8,0,151702.0633,141766.555,0,0,812,227,520,2,2,2,0,0,0,0,0,0,0,0,0,0,0,97668.36667,1.333333333,48834.18333,0.666666666
1000006667,602,ZR01,1,0,0,0,0,0,0,0,0,0,0,0,0,3000.59,0,3000.006667,2998.468333,0,0,4857,4519,4689,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
